start,end,DOMESTIC_HOT_WATER.CONSUMED_ELECTRICAL_ENERGY,HEATING.CONSUMED_ELECTRICAL_ENERGY,DOMESTIC_HOT_WATER.EARNED_ENVIRONMENT_ENERGY,HEATING.EARNED_ENVIRONMENT_ENERGY,DOMESTIC_HOT_WATER.HEAT_GENERATED,HEATING.HEAT_GENERATED
2025-02-12T00:00,2025-02-12T01:00,0.0,405.1547657790927,0.0,837.3822291490561,0.0,1188.2121484156419
2025-02-12T01:00,2025-02-12T02:00,0.0,504.07810269105653,0.0,1021.0423524941859,0.0,1465.1871095128924
2025-02-12T02:00,2025-02-12T03:00,0.0,507.54999091119555,0.0,1096.2408259751132,0.0,1545.0541156814243
2025-02-12T03:00,2025-02-12T04:00,0.0,391.0469188291861,0.0,841.9673173837274,0.0,1179.5841273798371
2025-02-12T04:00,2025-02-12T05:00,0.0,485.0069364101274,0.0,1003.3719498239436,0.0,1428.567051056338
2025-02-12T05:00,2025-02-12T06:00,0.0,654.34286367924,0.0,1337.2830136390335,0.0,1928.9570111422977
2025-02-12T06:00,2025-02-12T07:00,0.0,705.8631040433925,0.0,1344.9354307551425,0.0,1986.7362461256694
2025-02-12T07:00,2025-02-12T08:00,0.0,699.9169919865694,0.0,1214.0601649298883,0.0,1845.15002482097
2025-02-12T08:00,2025-02-12T09:00,0.0,681.9814918171888,0.0,1146.7454136473339,0.0,1761.4218703468337
2025-02-12T09:00,2025-02-12T10:00,0.0,665.2310323526731,0.0,1117.3586224933113,0.0,1716.7338590766321
2025-02-12T10:00,2025-02-12T11:00,0.0,661.8007024495678,0.0,1121.0608789625362,0.0,1717.8015564202335
2025-02-12T11:00,2025-02-12T12:00,0.0,554.8532879839589,0.0,1037.4628479259693,0.0,1533.4542008737048
2025-02-12T12:00,2025-02-12T13:00,0.0,636.6886909164554,0.0,1191.6309171597632,0.0,1767.3824140602985
2025-02-12T13:00,2025-02-12T14:00,0.0,580.6273779263352,0.0,1107.2581245609754,0.0,1631.2581324559783
2025-02-12T14:00,2025-02-12T15:00,0.0,618.8229932907356,0.0,1151.8255777267154,0.0,1710.669029586791
2025-02-12T15:00,2025-02-12T16:00,0.0,608.5511402980225,0.0,1217.9293750043146,0.0,1767.2155538853258
2025-02-12T16:00,2025-02-12T17:00,0.0,633.269867517535,0.0,1123.160302540736,0.0,1693.4657049233651
2025-02-12T17:00,2025-02-12T18:00,0.0,652.013374643471,0.0,1072.3618726876477,0.0,1658.812870328824
2025-02-12T18:00,2025-02-12T19:00,0.0,620.250197233078,0.0,1172.9264247504257,0.0,1731.2915317347874
2025-02-12T19:00,2025-02-12T20:00,0.0,645.7728639464995,0.0,1116.4078050030955,0.0,1696.98725347648
2025-02-12T20:00,2025-02-12T21:00,0.0,659.9095541555547,0.0,1070.841851590311,0.0,1664.005790338679
2025-02-12T21:00,2025-02-12T22:00,0.0,514.2208331138825,0.0,806.2354184611828,0.0,1261.1601798168094
2025-02-12T22:00,2025-02-12T23:00,0.0,386.58080963103794,0.0,746.556424887796,0.0,1082.3371251043743
2025-02-12T23:00,2025-02-13T00:00,0.0,320.21549619682673,0.0,715.9318677401354,0.0,988.198798169519
2025-02-13T00:00,2025-02-13T01:00,0.0,331.6777129120879,0.0,619.8863015990421,0.0,900.9147999436461
2025-02-13T01:00,2025-02-13T02:00,0.0,522.6822146203156,0.0,1068.1677981473654,0.0,1526.8997604959143
2025-02-13T02:00,2025-02-13T03:00,0.0,416.9186610664976,0.0,843.5671183784165,0.0,1205.06391765286
2025-02-13T03:00,2025-02-13T04:00,0.0,364.9465117803719,0.0,768.242384401052,0.0,1080.8648306007603
2025-02-13T04:00,2025-02-13T05:00,0.0,453.13488850046247,0.0,847.9075278547067,0.0,1239.140976232202
2025-02-13T05:00,2025-02-13T06:00,655.6441168986576,182.54509154879955,1466.2564576914613,415.1325811407339,2087.15974678147,573.7270295008495
2025-02-13T06:00,2025-02-13T07:00,1309.0051704876369,223.96114446169125,1657.6829174241084,592.4420238070435,2911.8525729873104,804.5261271772648
2025-02-13T07:00,2025-02-13T08:00,133.70592611640163,731.8743308904214,160.53472203877854,1392.876664573238,289.5768325474605,2055.930219653721
2025-02-13T08:00,2025-02-13T09:00,0.0,661.6396302816901,0.0,1103.5279357394365,0.0,1692.9285211267604
2025-02-13T09:00,2025-02-13T10:00,0.0,645.7599710171405,0.0,1031.9283830977984,0.0,1605.5743134001136
2025-02-13T10:00,2025-02-13T11:00,0.0,646.5491856604317,0.0,1040.0226843518008,0.0,1616.6068647234474
